"Fragment","Date.1","Genotype.1","Nutrients.1","Heat.1","Treatment.1","YII.1","Sample.1","Date.2","Genotype.2","Nutrients.2","Heat.2","Treatment.2","YII.2","Sample.2"
"A077","2020-11-13","Elkhorn","NH4","No","NH4",0.419,"2020-11-13_A077","2020-11-14","Elkhorn","NH4","No","NH4",0.153,"2020-11-14_A077"
"220","2020-11-13","FM9","NH4","No","NH4",0.481,"2020-11-13_220","2020-11-14","FM9","NH4","No","NH4",0.14,"2020-11-14_220"
"262","2020-11-13","FM14","NH4","No","NH4",0.527,"2020-11-13_262","2020-11-14","FM14","NH4","No","NH4",0.222,"2020-11-14_262"
"A083","2020-11-13","Elkhorn","NH4","No","NH4",0.49,"2020-11-13_A083","2020-11-14","Elkhorn","NH4","No","NH4",0.214,"2020-11-14_A083"
"A192","2020-11-13","FM19","NH4","No","NH4",0.506,"2020-11-13_A192","2020-11-14","FM19","NH4","No","NH4",0.162,"2020-11-14_A192"
"214","2020-11-13","FM9","NH4","No","NH4",0.5,"2020-11-13_214","2020-11-14","FM9","NH4","No","NH4",0.181,"2020-11-14_214"
"272","2020-11-13","FM14","NH4","No","NH4",0.505,"2020-11-13_272","2020-11-14","FM14","NH4","No","NH4",0.123,"2020-11-14_272"
"A188","2020-11-13","FM19","NH4","No","NH4",0.502,"2020-11-13_A188","2020-11-14","FM19","NH4","No","NH4",0.107,"2020-11-14_A188"
"A185","2020-11-13","FM19","NH4","No","NH4",0.514,"2020-11-13_A185","2020-11-14","FM19","NH4","No","NH4",0.129,"2020-11-14_A185"
"A131","2020-11-13","U44","NH4","No","NH4",0.538,"2020-11-13_A131","2020-11-14","U44","NH4","No","NH4",0.128,"2020-11-14_A131"
"266","2020-11-13","FM6","NH4","No","NH4",0.499,"2020-11-13_266","2020-11-14","FM6","NH4","No","NH4",0.103,"2020-11-14_266"
"A134","2020-11-13","U44","NH4","No","NH4",0.482,"2020-11-13_A134","2020-11-14","U44","NH4","No","NH4",0.136,"2020-11-14_A134"
"261","2020-11-13","FM6","NH4","No","NH4",0.457,"2020-11-13_261","2020-11-14","FM6","NH4","No","NH4",0.079,"2020-11-14_261"
"A069","2020-11-13","Elkhorn","Ambient","No","Control",0.46,"2020-11-13_A069","2020-11-14","Elkhorn","Ambient","No","Control",0.16,"2020-11-14_A069"
"A079","2020-11-13","Elkhorn","Ambient","No","Control",0.346,"2020-11-13_A079","2020-11-14","Elkhorn","Ambient","No","Control",0.118,"2020-11-14_A079"
"A090","2020-11-13","Elkhorn","Ambient","No","Control",0.348,"2020-11-13_A090","2020-11-14","Elkhorn","Ambient","No","Control",0.154,"2020-11-14_A090"
"471","2020-11-13","Elkhorn","Ambient","No","Control",0.5,"2020-11-13_471","2020-11-14","Elkhorn","Ambient","No","Control",0.169,"2020-11-14_471"
"A006","2020-11-13","U44","Ambient","No","Control",0.494,"2020-11-13_A006","2020-11-14","U44","Ambient","No","Control",0.239,"2020-11-14_A006"
"A174","2020-11-13","K2","Ambient","Yes","Heat",0.405,"2020-11-13_A174","2020-11-14","K2","Ambient","Yes","Heat",0.11,"2020-11-14_A174"
"277","2020-11-13","FM14","Ambient","No","Control",0.47,"2020-11-13_277","2020-11-14","FM14","Ambient","No","Control",0.149,"2020-11-14_277"
"224","2020-11-13","FM9","Ambient","Yes","Heat",0.461,"2020-11-13_224","2020-11-14","FM9","Ambient","Yes","Heat",0.168,"2020-11-14_224"
"A156","2020-11-13","K2","Ambient","Yes","Heat",0.456,"2020-11-13_A156","2020-11-14","K2","Ambient","Yes","Heat",0.194,"2020-11-14_A156"
"A123","2020-11-13","U41","Ambient","Yes","Heat",0.409,"2020-11-13_A123","2020-11-14","U41","Ambient","Yes","Heat",0.094,"2020-11-14_A123"
"A128","2020-11-13","U44","Ambient","No","Control",0.517,"2020-11-13_A128","2020-11-14","U44","Ambient","No","Control",0.175,"2020-11-14_A128"
"A168","2020-11-13","K2","Ambient","Yes","Heat",0.446,"2020-11-13_A168","2020-11-14","K2","Ambient","Yes","Heat",0.239,"2020-11-14_A168"
"334","2020-11-13","FM9","Ambient","No","Control",0.453,"2020-11-13_334","2020-11-14","FM9","Ambient","No","Control",0.142,"2020-11-14_334"
"A193","2020-11-13","FM19","Ambient","No","Control",0.433,"2020-11-13_A193","2020-11-14","FM19","Ambient","No","Control",0.115,"2020-11-14_A193"
"207","2020-11-13","FM9","Ambient","No","Control",0.459,"2020-11-13_207","2020-11-14","FM9","Ambient","No","Control",0.089,"2020-11-14_207"
"260","2020-11-13","FM6","Ambient","No","Control",0.435,"2020-11-13_260","2020-11-14","FM6","Ambient","No","Control",0.188,"2020-11-14_260"
"244","2020-11-13","FM6","Ambient","No","Control",0.445,"2020-11-13_244","2020-11-14","FM6","Ambient","No","Control",0.155,"2020-11-14_244"
"217","2020-11-13","FM9","Ambient","Yes","Heat",0.484,"2020-11-13_217","2020-11-14","FM9","Ambient","Yes","Heat",0.067,"2020-11-14_217"
"A186","2020-11-13","FM19","Ambient","No","Control",0.5,"2020-11-13_A186","2020-11-14","FM19","Ambient","No","Control",0.148,"2020-11-14_A186"
"A178","2020-11-13","FM19","Ambient","No","Control",0.47,"2020-11-13_A178","2020-11-14","FM19","Ambient","No","Control",0.147,"2020-11-14_A178"
"274","2020-11-13","FM14","Ambient","Yes","Heat",0.479,"2020-11-13_274","2020-11-14","FM14","Ambient","Yes","Heat",0.114,"2020-11-14_274"
"273","2020-11-13","FM14","Ambient","Yes","Heat",0.467,"2020-11-13_273","2020-11-14","FM14","Ambient","Yes","Heat",0.085,"2020-11-14_273"
"275","2020-11-13","FM14","Ambient","Yes","Heat",0.499,"2020-11-13_275","2020-11-14","FM14","Ambient","Yes","Heat",0.123,"2020-11-14_275"
"225","2020-11-13","FM9","Ambient","Yes","Heat",0.477,"2020-11-13_225","2020-11-14","FM9","Ambient","Yes","Heat",0.122,"2020-11-14_225"
"263","2020-11-13","FM14","Ambient","No","Control",0.449,"2020-11-13_263","2020-11-14","FM14","Ambient","No","Control",0.13,"2020-11-14_263"
